# Force coefficients
# dragDir       : (1.00000000e+00 0.00000000e+00 0.00000000e+00)
# sideDir       : (0.00000000e+00 0.00000000e+00 -1.00000000e+00)
# liftDir       : (0.00000000e+00 1.00000000e+00 0.00000000e+00)
# rollAxis      : (1.00000000e+00 0.00000000e+00 0.00000000e+00)
# pitchAxis     : (0.00000000e+00 0.00000000e+00 -1.00000000e+00)
# yawAxis       : (0.00000000e+00 1.00000000e+00 0.00000000e+00)
# magUInf       : 1.00000000e+00
# lRef          : 1.00000000e-01
# Aref          : 1.00000000e-03
# CofR          : (2.00000000e-01 2.00000000e-01 5.00000000e-03)
#
# Time          	Cd              	Cs              	Cl              	CmRoll          	CmPitch         	CmYaw           	Cd(f)           	Cd(r)           	Cs(f)           	Cs(r)           	Cl(f)           	Cl(r)           
0.01            	3.55787156e+00	-3.64641965e-18	3.21375549e-01	-3.53513103e-02	-1.10683303e+00	3.91365872e-01	1.74358447e+00	1.81428709e+00	3.91365872e-01	-3.91365872e-01	-9.46145255e-01	1.26752080e+00
0.011           	3.39247238e+00	-3.47332204e-18	3.64237707e-01	-4.00661478e-02	-1.16090792e+00	3.73171961e-01	1.65617004e+00	1.73630234e+00	3.73171961e-01	-3.73171961e-01	-9.78789068e-01	1.34302677e+00
0.012           	3.25209002e+00	-3.32676291e-18	4.10838426e-01	-4.51922269e-02	-1.20971088e+00	3.57729902e-01	1.58085278e+00	1.67123724e+00	3.57729902e-01	-3.57729902e-01	-1.00429167e+00	1.41513009e+00
0.013           	3.13439482e+00	-3.18770622e-18	4.56254688e-01	-5.01880157e-02	-1.25355691e+00	3.44783430e-01	1.51700939e+00	1.61738543e+00	3.44783430e-01	-3.44783430e-01	-1.02542957e+00	1.48168426e+00
0.014           	3.03501521e+00	-3.05716250e-18	5.02805166e-01	-5.53085682e-02	-1.29268478e+00	3.33851673e-01	1.46219904e+00	1.57281617e+00	3.33851673e-01	-3.33851673e-01	-1.04128220e+00	1.54408736e+00
0.015           	2.95015896e+00	-2.93443348e-18	5.49866865e-01	-6.04853551e-02	-1.32727908e+00	3.24517485e-01	1.41459412e+00	1.53556483e+00	3.24517485e-01	-3.24517485e-01	-1.05234565e+00	1.60221251e+00
0.016           	2.87678658e+00	-2.81926899e-18	5.97390540e-01	-6.57129594e-02	-1.35748523e+00	3.16446524e-01	1.37268033e+00	1.50410625e+00	3.16446524e-01	-3.16446524e-01	-1.05878996e+00	1.65618050e+00
0.017           	2.81368674e+00	-2.70959123e-18	6.44962186e-01	-7.09458405e-02	-1.38342058e+00	3.09505541e-01	1.33589753e+00	1.47778921e+00	3.09505541e-01	-3.09505541e-01	-1.06093949e+00	1.70590167e+00
0.018           	2.75851958e+00	-2.60808116e-18	6.94640049e-01	-7.64104054e-02	-1.40518097e+00	3.03437153e-01	1.30284938e+00	1.45567019e+00	3.03437153e-01	-3.03437153e-01	-1.05786094e+00	1.75250099e+00
0.019           	2.71006824e+00	-2.50842297e-18	7.41844779e-01	-8.16029257e-02	-1.42284916e+00	2.98107506e-01	1.27343119e+00	1.43663704e+00	2.98107506e-01	-2.98107506e-01	-1.05192677e+00	1.79377155e+00
0.02            	2.66789794e+00	-2.41320909e-18	7.88816031e-01	-8.67697634e-02	-1.43649770e+00	2.93468774e-01	1.24717921e+00	1.42071873e+00	2.93468774e-01	-2.93468774e-01	-1.04208969e+00	1.83090572e+00
0.021           	2.63186646e+00	-2.32216135e-18	8.36445776e-01	-9.20090354e-02	-1.44619165e+00	2.89505310e-01	1.22392419e+00	1.40794226e+00	2.89505310e-01	-2.89505310e-01	-1.02796877e+00	1.86441454e+00
0.022           	2.60141588e+00	-2.23524465e-18	8.83688703e-01	-9.72057573e-02	-1.45199178e+00	2.86155747e-01	1.20350218e+00	1.39791370e+00	2.86155747e-01	-2.86155747e-01	-1.01014743e+00	1.89383614e+00
0.023           	2.57551462e+00	-2.15077320e-18	9.30466562e-01	-1.02351322e-01	-1.45395584e+00	2.83306608e-01	1.18540599e+00	1.39010863e+00	2.83306608e-01	-2.83306608e-01	-9.88722563e-01	1.91918912e+00
0.024           	2.55348997e+00	-2.06639389e-18	9.75425421e-01	-1.07296796e-01	-1.45214091e+00	2.80883897e-01	1.16944819e+00	1.38404178e+00	2.80883897e-01	-2.80883897e-01	-9.64428197e-01	1.93985362e+00
0.025           	2.53538936e+00	-1.98161923e-18	1.01995929e+00	-1.12195522e-01	-1.44660232e+00	2.78892829e-01	1.15549916e+00	1.37989020e+00	2.78892829e-01	-2.78892829e-01	-9.36622677e-01	1.95658197e+00
0.026           	2.52006341e+00	-1.89962196e-18	1.06329874e+00	-1.16962861e-01	-1.43739639e+00	2.77206975e-01	1.14306884e+00	1.37699457e+00	2.77206975e-01	-2.77206975e-01	-9.05747021e-01	1.96904576e+00
0.027           	2.50816602e+00	-1.82061994e-18	1.10629179e+00	-1.21692097e-01	-1.42458217e+00	2.75898263e-01	1.13239091e+00	1.37577511e+00	2.75898263e-01	-2.75898263e-01	-8.71436281e-01	1.97772807e+00
0.028           	2.49947668e+00	-1.74553226e-18	1.14940928e+00	-1.26435021e-01	-1.40822129e+00	2.74942435e-01	1.12330332e+00	1.37617336e+00	2.74942435e-01	-2.74942435e-01	-8.33516651e-01	1.98292593e+00
0.029           	2.49346146e+00	-1.67039108e-18	1.19003617e+00	-1.30903979e-01	-1.38837834e+00	2.74280760e-01	1.11582675e+00	1.37763471e+00	2.74280760e-01	-2.74280760e-01	-7.93360259e-01	1.98339643e+00
0.03            	2.48919858e+00	-1.59587881e-18	1.23000805e+00	-1.35300886e-01	-1.36512163e+00	2.73811844e-01	1.10929840e+00	1.37990018e+00	2.73811844e-01	-2.73811844e-01	-7.50117606e-01	1.98012566e+00
0.031           	2.48834440e+00	-1.52535435e-18	1.26971773e+00	-1.39668950e-01	-1.33852374e+00	2.73717884e-01	1.10450325e+00	1.38384115e+00	2.73717884e-01	-2.73717884e-01	-7.03664870e-01	1.97338260e+00
0.032           	2.48924193e+00	-1.45156199e-18	1.30771193e+00	-1.43848312e-01	-1.30866076e+00	2.73816612e-01	1.10077265e+00	1.38846928e+00	2.73816612e-01	-2.73816612e-01	-6.54804801e-01	1.96251673e+00
0.033           	2.49239288e+00	-1.38166443e-18	1.34451233e+00	-1.47896356e-01	-1.27561336e+00	2.74163217e-01	1.09830008e+00	1.39409280e+00	2.74163217e-01	-2.74163217e-01	-6.03357199e-01	1.94786953e+00
0.034           	2.49642301e+00	-1.30725116e-18	1.37886535e+00	-1.51675189e-01	-1.23946668e+00	2.74606531e-01	1.09653632e+00	1.39988669e+00	2.74606531e-01	-2.74606531e-01	-5.50034002e-01	1.92889936e+00
0.035           	2.49925054e+00	-1.24548691e-18	1.41551202e+00	-1.55706322e-01	-1.20031008e+00	2.74917559e-01	1.09391895e+00	1.40533159e+00	2.74917559e-01	-2.74917559e-01	-4.92554072e-01	1.90806609e+00
