# Force coefficients
# dragDir       : (1.00000000e+00 0.00000000e+00 0.00000000e+00)
# sideDir       : (0.00000000e+00 0.00000000e+00 -1.00000000e+00)
# liftDir       : (0.00000000e+00 1.00000000e+00 0.00000000e+00)
# rollAxis      : (1.00000000e+00 0.00000000e+00 0.00000000e+00)
# pitchAxis     : (0.00000000e+00 0.00000000e+00 -1.00000000e+00)
# yawAxis       : (0.00000000e+00 1.00000000e+00 0.00000000e+00)
# magUInf       : 1.00000000e+00
# lRef          : 1.00000000e-01
# Aref          : 1.00000000e-03
# CofR          : (2.00000000e-01 2.00000000e-01 5.00000000e-03)
#
# Time          	Cd              	Cs              	Cl              	CmRoll          	CmPitch         	CmYaw           	Cd(f)           	Cd(r)           	Cs(f)           	Cs(r)           	Cl(f)           	Cl(r)           
0.097           	2.07447255e+00	1.52913417e-18	-1.58740519e-02	1.74614571e-03	-4.62703548e-04	2.28191981e-01	1.03898242e+00	1.03549013e+00	2.28191981e-01	-2.28191981e-01	-8.39972951e-03	-7.47432242e-03
0.0975          	2.07963272e+00	1.53589279e-18	-1.55782901e-02	1.71361192e-03	-4.67119777e-04	2.28759599e-01	1.04152997e+00	1.03810275e+00	2.28759599e-01	-2.28759599e-01	-8.25626485e-03	-7.32202529e-03
0.098           	2.08480607e+00	1.54056946e-18	-1.69365164e-02	1.86301680e-03	-4.71587963e-04	2.29328668e-01	1.04426605e+00	1.04054002e+00	2.29328668e-01	-2.29328668e-01	-8.93984617e-03	-7.99667024e-03
0.0985          	2.09042978e+00	1.54566991e-18	-1.72238235e-02	1.89462059e-03	-4.76097103e-04	2.29947276e-01	1.04710951e+00	1.04332027e+00	2.29947276e-01	-2.29947276e-01	-9.08800887e-03	-8.13581466e-03
0.099           	2.09606499e+00	1.55098980e-18	-1.63478600e-02	1.79826460e-03	-4.80617877e-04	2.30567149e-01	1.04983076e+00	1.04623423e+00	2.30567149e-01	-2.30567149e-01	-8.65454789e-03	-7.69331213e-03
0.0995          	2.10157731e+00	1.55848754e-18	-1.65698095e-02	1.82267905e-03	-4.85177021e-04	2.31173504e-01	1.05261134e+00	1.04896598e+00	2.31173504e-01	-2.31173504e-01	-8.77008179e-03	-7.79972775e-03
0.1             	2.10750692e+00	1.56632089e-18	-1.65828692e-02	1.82411561e-03	-4.89805448e-04	2.31825761e-01	1.05557758e+00	1.05192934e+00	2.31825761e-01	-2.31825761e-01	-8.78124004e-03	-7.80162914e-03
0.1005          	2.11189070e+00	1.57102250e-18	-1.74631964e-02	1.92095161e-03	-4.94506649e-04	2.32307977e-01	1.05786630e+00	1.05402440e+00	2.32307977e-01	-2.32307977e-01	-9.22610486e-03	-8.23709157e-03
0.101           	2.11790934e+00	1.57741279e-18	-1.80910738e-02	1.99001812e-03	-4.99258180e-04	2.32970027e-01	1.06094469e+00	1.05696465e+00	2.32970027e-01	-2.32970027e-01	-9.54479509e-03	-8.54627873e-03
0.1015          	2.12184178e+00	1.58409257e-18	-1.71011543e-02	1.88112698e-03	-5.04087702e-04	2.33402596e-01	1.06280202e+00	1.05903976e+00	2.33402596e-01	-2.33402596e-01	-9.05466487e-03	-8.04648946e-03
0.102           	2.12573920e+00	1.58650773e-18	-1.77982681e-02	1.95780949e-03	-5.08986484e-04	2.33831312e-01	1.06482741e+00	1.06091179e+00	2.33831312e-01	-2.33831312e-01	-9.40812051e-03	-8.39014754e-03
0.1025          	2.13078387e+00	1.59182270e-18	-1.76406849e-02	1.94047534e-03	-5.13942911e-04	2.34386225e-01	1.06733241e+00	1.06345146e+00	2.34386225e-01	-2.34386225e-01	-9.33428535e-03	-8.30639953e-03
0.103           	2.13600781e+00	1.59732971e-18	-1.74889671e-02	1.92378638e-03	-5.18952416e-04	2.34960859e-01	1.06992769e+00	1.06608012e+00	2.34960859e-01	-2.34960859e-01	-9.26343598e-03	-8.22553114e-03
0.1035          	2.14106918e+00	1.60255593e-18	-1.75015286e-02	1.92516815e-03	-5.24018073e-04	2.35517610e-01	1.07245976e+00	1.06860942e+00	2.35517610e-01	-2.35517610e-01	-9.27478239e-03	-8.22674625e-03
0.104           	2.14690567e+00	1.60940385e-18	-1.75370671e-02	1.92907738e-03	-5.29141212e-04	2.36159624e-01	1.07538191e+00	1.07152376e+00	2.36159624e-01	-2.36159624e-01	-9.29767477e-03	-8.23939234e-03
0.1045          	2.15231499e+00	1.61565882e-18	-1.80033467e-02	1.98036814e-03	-5.34314202e-04	2.36754649e-01	1.07813786e+00	1.07417713e+00	2.36754649e-01	-2.36754649e-01	-9.53598757e-03	-8.46735917e-03
0.105           	2.15696758e+00	1.62093122e-18	-1.80903979e-02	1.98994377e-03	-5.39518692e-04	2.37266433e-01	1.08047373e+00	1.07649384e+00	2.37266433e-01	-2.37266433e-01	-9.58471766e-03	-8.50568028e-03
0.1055          	2.16205766e+00	1.62667919e-18	-1.80884987e-02	1.98973486e-03	-5.44748456e-04	2.37826343e-01	1.08301857e+00	1.07903910e+00	2.37826343e-01	-2.37826343e-01	-9.58899783e-03	-8.49950092e-03
0.106           	2.16721208e+00	1.63247103e-18	-1.81079653e-02	1.99187618e-03	-5.50000805e-04	2.38393329e-01	1.08559792e+00	1.08161416e+00	2.38393329e-01	-2.38393329e-01	-9.60398344e-03	-8.50398183e-03
0.1065          	2.17261565e+00	1.63824155e-18	-1.81434875e-02	1.99578362e-03	-5.55274408e-04	2.38987721e-01	1.08830361e+00	1.08431204e+00	2.38987721e-01	-2.38987721e-01	-9.62701814e-03	-8.51646933e-03
0.107           	2.17785259e+00	1.64400457e-18	-1.81950115e-02	2.00145127e-03	-5.60567285e-04	2.39563785e-01	1.09092775e+00	1.08692484e+00	2.39563785e-01	-2.39563785e-01	-9.65807305e-03	-8.53693848e-03
0.1075          	2.18312517e+00	1.64980570e-18	-1.83030734e-02	2.01333808e-03	-5.65876963e-04	2.40143769e-01	1.09357592e+00	1.08954925e+00	2.40143769e-01	-2.40143769e-01	-9.71741367e-03	-8.58565974e-03
0.108           	2.18831476e+00	1.65575089e-18	-1.83604100e-02	2.01964510e-03	-5.71200821e-04	2.40714624e-01	1.09617703e+00	1.09213774e+00	2.40714624e-01	-2.40714624e-01	-9.75140580e-03	-8.60900416e-03
0.1085          	2.19363129e+00	1.66132140e-18	-1.84416493e-02	2.02858142e-03	-5.76532299e-04	2.41299441e-01	1.09884422e+00	1.09478706e+00	2.41299441e-01	-2.41299441e-01	-9.79735694e-03	-8.64429235e-03
0.109           	2.19889615e+00	1.66702277e-18	-1.85007588e-02	2.03508347e-03	-5.81868915e-04	2.41878576e-01	1.10148316e+00	1.09741299e+00	2.41878576e-01	-2.41878576e-01	-9.83224833e-03	-8.66851050e-03
0.1095          	2.20409174e+00	1.67260437e-18	-1.85491425e-02	2.04040567e-03	-5.87213250e-04	2.42450091e-01	1.10408627e+00	1.10000546e+00	2.42450091e-01	-2.42450091e-01	-9.86178450e-03	-8.68735800e-03
0.11            	2.20931392e+00	1.67812217e-18	-1.85750398e-02	2.04325438e-03	-5.92560954e-04	2.43024532e-01	1.10670022e+00	1.10261371e+00	2.43024532e-01	-2.43024532e-01	-9.88008086e-03	-8.69495896e-03
0.1105          	2.21454641e+00	1.68360988e-18	-1.85713852e-02	2.04285237e-03	-5.97911310e-04	2.43600105e-01	1.10931606e+00	1.10523035e+00	2.43600105e-01	-2.43600105e-01	-9.88360392e-03	-8.68778130e-03
0.111           	2.21995598e+00	1.68934928e-18	-1.84673683e-02	2.03141051e-03	-6.03257636e-04	2.44195157e-01	1.11200940e+00	1.10794658e+00	2.44195157e-01	-2.44195157e-01	-9.83694179e-03	-8.63042652e-03
